INFO 2024-12-11 14:09:06,434 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:06,454 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:06,493 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:06,515 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:06,547 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:06,636 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:06,815 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:06,924 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,121 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,147 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,181 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,219 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,288 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,312 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,342 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,366 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,391 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,431 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,461 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,488 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,544 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,574 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,608 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,646 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,670 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,695 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,723 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:08,755 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:13,864 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:13,885 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:13,935 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:13,972 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:13,998 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,024 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,050 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,078 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,109 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,139 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,172 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,196 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,227 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,305 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
